"bpid","mlbid","Name","Age","Team","WARP","DRC+","+/-","G","PA","AB","R","HR","RBI","SB","AVG","OBP","SLG","OPS","ISO","K%","BB%","K/BB","Whiff%"
"102864","642336","Francisco Mejía",25,"TB","0.9","101","13",84,277,250,31,6,35,"0",".260",".322",".416",".738",".156","17.7","6.1","2.9","20.4"
"67072","592626","Joc Pederson",29,,"0.9","92","11",137,481,429,55,18,61,2,".238",".310",".422",".732",".184","24.3","8.1","3.0","26.3"
"59705","542364","Rafael Ortega",30,"CHC","0.9","104","14",103,330,296,44,11,33,12,".291",".360",".463",".823",".172","21.2","9.1","2.3","21.5"
"60956","570482","Gio Urshela",29,"NYY","0.9","93","13",116,442,420,42,14,49,1,".267",".301",".419",".720",".152","24.7","4.5","5.5","25.1"
"100628","621433","Brett Phillips",27,"TB","0.8","74","17",118,292,253,50,13,44,14,".202",".297",".415",".712",".213","38.7","11.3","3.4","36.3"
"102267","628338","Guillermo Heredia",30,"ATL","0.8","84","12",120,347,305,46,5,26,"0",".220",".311",".354",".665",".134","23.3","9.2","2.5","27.5"
"46262","476704","Jed Lowrie",37,"OAK","0.8","96","12",139,512,457,55,14,69,"0",".245",".318",".398",".717",".153","21.1","9.6","2.2","24.3"
"123806","663538","Nico Hoerner",24,"CHC","0.8","99","13",44,170,149,13,"0",16,5,".302",".382",".369",".752",".067","14.7","10.0","1.5","18.4"
"34706","649557","Aledmys Díaz",30,"HOU","0.8","96","13",84,319,294,28,8,45,"0",".259",".317",".405",".721",".146","19.4","5.0","3.9","22.5"
"107106","621493","Taylor Ward",27,"LAA","0.8","99","15",65,237,208,33,8,33,1,".250",".332",".438",".769",".188","23.2","8.4","2.8","25.1"
"59145","542303","Marcell Ozuna",30,"ATL","0.8","97","16",48,208,188,21,7,26,"0",".213",".288",".356",".645",".144","22.1","9.1","2.4","27.5"
"70516","606992","Eric Haase",28,"DET","0.8","102","16",98,381,351,48,22,61,2,".231",".286",".459",".745",".228","31.2","6.8","4.6","34.7"
"45398","452678","Asdrúbal Cabrera",35,,"0.8","91","13",110,352,309,34,7,42,1,".230",".313",".366",".678",".136","22.7","10.2","2.2","25.4"
"102064","605170","Victor Caratini",27,"SD","0.8","88","13",116,356,313,33,7,39,2,".227",".309",".323",".632",".096","23.0","9.8","2.3","25.5"
"51985","457708","Justin Upton",33,"LAA","0.8","95","15",89,362,318,47,17,41,4,".211",".296",".409",".705",".198","29.6","10.8","2.7","31.6"
"67119","592743","Andrelton Simmons",31,"MIN","0.8","84","9",131,451,412,37,3,31,1,".223",".283",".274",".558",".051","13.7","7.1","1.9","16.6"
"65961","543105","Alex Dickerson",31,"SF","0.8","98","16",111,312,283,37,13,38,1,".233",".304",".420",".725",".187","24.4","7.4","3.3","28.2"
"56945","519390","Stephen Vogt",36,,"0.8",89,"13",78,238,210,24,7,25,"0",".195",".283",".333",".616",".138","23.5","10.9","2.1","26.3"
"107858","665926","Andrés Giménez",22,"CLE","0.8","77","15",68,210,188,23,5,16,11,".218",".282",".351",".633",".133","25.7","5.2","4.9","30.5"
"100121","572233","Christian Walker",30,"ARI","0.8","91","13",115,445,401,55,10,46,"0",".244",".315",".382",".696",".137","23.8","8.5","2.8","27.4"
"31483","408234","Miguel Cabrera",38,"DET","0.7","100","12",130,526,472,48,15,75,"0",".256",".316",".386",".701",".129","22.4","7.6","3.0","25.8"
"70393","595943","Phillip Evans",28,"PIT","0.7","91","16",76,247,214,23,5,16,1,".206",".312",".299",".611",".093","21.5","11.3","1.9","23.6"
"106153","660634","Yonny Hernandez",23,"TEX","0.7","90","14",43,166,143,15,"0",6,11,".217",".315",".252",".567",".035","19.3","10.2","1.9","15.2"
"108119","663993","Nathaniel Lowe",25,"TEX","0.7","98","11",157,642,557,75,18,72,8,".264",".357",".415",".771",".151","25.2","12.5","2.0","23.6"
"70394","595956","Cam Gallagher",28,"KC","0.7","93","15",48,124,112,9,1,7,"0",".250",".298",".330",".628",".080","16.1","6.5","2.5","15.4"
"59592","571466","Tucker Barnhart",30,"CIN","0.7","77","12",116,388,348,41,7,48,"0",".247",".317",".368",".685",".121","25.8","7.5","3.5","26.2"
"45623","475582","Ryan Zimmerman",36,"WSH","0.7","100","19",110,273,255,27,14,46,"0",".243",".286",".471",".756",".227","28.2","5.9","4.8","28.4"
"107452","668663","Tres Barrera",26,"WSH","0.7","99","18",30,107,91,8,2,10,"0",".264",".374",".385",".758",".121","20.6","11.2","1.8","22.7"
"59664","571788","Brock Holt",33,"TEX","0.7","78","12",76,260,235,21,2,23,5,".209",".281",".298",".579",".089","18.8","8.8","2.1","19.4"
"100653","621512","Tomás Nido",27,"NYM","0.7","70","16",58,161,153,16,3,13,1,".222",".261",".327",".588",".105","27.3","3.1","8.8","38.0"
"103225","642731","Thairo Estrada",25,"SF","0.7","115","19",52,132,121,19,7,22,1,".273",".333",".479",".813",".207","17.4","6.8","2.6","19.0"
"69305","600303","Tommy La Stella",32,"SF","0.7","108","15",76,242,220,26,7,27,"0",".250",".308",".405",".713",".155","10.7","7.4","1.4","12.3"
"104176","650391","Eloy Jiménez",24,"CWS","0.7","97","18",55,231,213,23,10,37,"0",".249",".303",".437",".740",".188","24.7","6.9","3.6","33.8"
"67964","595281","Kevin Kiermaier",31,"TB","0.7","79","12",122,390,348,54,4,37,9,".259",".328",".388",".716",".129","25.4","8.5","3.0","31.6"
"101605","624415","Cavan Biggio",26,"TOR","0.7","89","15",79,294,250,27,7,27,3,".224",".322",".356",".678",".132","26.5","12.6","2.1","25.8"
"57278","516770","Starlin Castro",31,"WSH","0.7","93","12",87,346,315,25,3,38,"0",".283",".333",".375",".708",".092","17.9","7.5","2.4","22.2"
"106548","647304","Josh Naylor",24,"CLE","0.7","91","15",69,250,233,28,7,21,1,".253",".301",".399",".700",".146","18.0","5.6","3.2","21.3"
"100349","609280","Miguel Andújar",26,"NYY","0.7","103","17",45,162,154,19,6,12,"0",".253",".284",".383",".667",".130","17.3","4.3","4.0","19.3"
"47454","458731","Brett Gardner",37,"NYY","0.7","88","12",140,461,387,47,10,39,4,".222",".327",".362",".688",".140","21.7","13.0","1.7","18.5"
"69686","606213","Yermín Mercedes",28,"CWS","0.6","104","14",68,262,240,26,7,37,"0",".271",".328",".404",".732",".133","17.6","7.6","2.3","22.0"
"130939","663457","Lars Nootbaar",23,"STL","0.6","100","20",58,124,109,15,5,15,2,".239",".317",".422",".739",".183","22.6","10.5","2.1","26.1"
"58809","544369","Didi Gregorius",31,"PHI","0.6","86","13",103,408,368,35,13,54,3,".209",".270",".370",".639",".160","16.4","6.1","2.7","24.6"
"106165","656541","Sam Hilliard",27,"COL","0.6","83","18",81,238,214,32,14,34,5,".215",".294",".463",".757",".248","36.6","9.7","3.8","41.8"
"104023","645302","Victor Robles",24,"WSH","0.6","78","11",107,369,315,37,2,19,8,".203",".310",".295",".605",".092","23.0","8.9","2.6","25.6"
"108396","656847","DJ Peters",25,,"0.6","82","17",70,240,223,29,13,38,2,".197",".242",".422",".663",".224","34.2","5.0","6.8","36.9"
"125372","672284","Jarred Kelenic",21,"SEA","0.6","78","14",93,377,337,41,14,43,6,".181",".265",".350",".615",".169","28.1","9.5","2.9","26.9"
"107811","641584","Jake Fraley",26,"SEA","0.6","97","14",78,265,214,27,9,36,10,".210",".352",".369",".721",".159","26.8","17.4","1.5","28.6"
"102080","608686","Jack Mayfield",30,,"0.6","93","14",86,290,266,30,10,39,5,".218",".272",".387",".659",".169","23.4","5.9","4.0","24.7"
"100634","621446","Lewis Brinson",27,"MIA","0.6","83","14",89,290,274,24,9,33,1,".226",".263",".376",".639",".150","24.8","4.5","5.5","31.2"
"69752","606299","José Peraza",27,"NYM","0.6","102","16",64,154,142,21,6,20,1,".204",".266",".380",".646",".176","16.9","5.8","2.9","19.6"
"109295","666176","Jo Adell",22,"LAA","0.6","92","18",35,140,130,17,4,26,2,".246",".295",".408",".703",".162","22.9","5.7","4.0","29.6"
