last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Hernández, César,514917,2021,637,438,.232,.237,-0.005,.386,.374,0.012,.302,.307,-0.005
Duggar, Steven,621453,2021,297,180,.257,.229,0.028,.437,.399,0.038,.327,.306,0.021
Grisham, Trent,663757,2021,527,348,.242,.236,0.006,.413,.357,0.056,.320,.306,0.014
Rendon, Anthony,543685,2021,249,178,.240,.233,0.007,.382,.369,0.013,.310,.306,0.004
Kelenic, Jarred,672284,2021,377,232,.181,.215,-0.034,.350,.397,-0.047,.270,.306,-0.036
Villar, Jonathan,542340,2021,505,324,.249,.231,0.018,.416,.381,0.035,.320,.305,0.015
Ramirez, Harold,623912,2021,361,286,.268,.264,0.004,.398,.391,0.007,.302,.304,-0.002
Naylor, Josh,647304,2021,250,188,.253,.249,0.004,.399,.407,-0.008,.301,.304,-0.003
Chisholm Jr., Jazz,665862,2021,507,324,.248,.233,0.015,.425,.400,0.025,.312,.304,0.008
Larnach, Trevor,663616,2021,301,158,.223,.209,0.014,.350,.368,-0.018,.300,.304,-0.004
Urshela, Gio,570482,2021,442,312,.267,.250,0.017,.419,.412,0.007,.309,.303,0.006
Narváez, Omar,553882,2021,445,313,.266,.234,0.032,.402,.363,0.039,.322,.302,0.020
Molina, Yadier,425877,2021,473,364,.252,.252,0.000,.370,.398,-0.028,.289,.302,-0.013
Goodrum, Niko,592348,2021,325,185,.214,.211,0.003,.359,.371,-0.012,.286,.302,-0.016
Kieboom, Carter,666198,2021,249,157,.207,.232,-0.025,.318,.347,-0.029,.275,.302,-0.027
Hernandez, Yadiel,628450,2021,289,207,.273,.237,0.036,.413,.391,0.022,.320,.301,0.019
Straw, Myles,664702,2021,638,448,.271,.253,0.018,.348,.326,0.022,.311,.301,0.010
Profar, Jurickson,595777,2021,412,291,.227,.236,-0.009,.320,.319,0.001,.292,.301,-0.009
Berti, Jon,542932,2021,271,175,.210,.230,-0.020,.313,.319,-0.006,.282,.301,-0.019
Shaw, Travis,543768,2021,250,155,.200,.213,-0.013,.373,.382,-0.009,.289,.301,-0.012
Merrifield, Whit,593160,2021,720,573,.277,.259,0.018,.395,.378,0.017,.306,.300,0.006
Dickerson, Corey,572816,2021,365,269,.271,.247,0.024,.408,.372,0.036,.317,.300,0.017
Herrera, Odúbel,546318,2021,492,379,.260,.250,0.010,.416,.373,0.043,.312,.300,0.012
Jeffers, Ryan,680777,2021,293,159,.199,.206,-0.007,.401,.411,-0.010,.289,.300,-0.011
Arozarena, Randy,668227,2021,604,364,.274,.216,0.058,.459,.358,0.101,.350,.299,0.051
Farmer, Kyle,571657,2021,529,392,.263,.249,0.014,.416,.375,0.041,.316,.299,0.017
Zimmerman, Ryan,475582,2021,273,180,.243,.229,0.014,.471,.414,0.057,.319,.299,0.020
Crawford, J.P.,641487,2021,687,510,.273,.256,0.017,.376,.336,0.040,.314,.297,0.017
Anderson, Brian,605119,2021,264,168,.249,.213,0.036,.378,.366,0.012,.314,.297,0.017
Taylor, Michael A.,572191,2021,528,346,.244,.241,0.003,.356,.381,-0.025,.286,.297,-0.011
Dozier, Hunter,641531,2021,543,339,.216,.222,-0.006,.394,.382,0.012,.293,.297,-0.004
