Game,Team,Stat,Data
360411111,LAA,DP, 2 (Escobar-Pennington-Pujols 2)
360411111,OAK,DP, 2 (Lowrie-Semien-Alonso 2)
360411112,SEA,DP, 1 (Seager-Canó-Lind)
360412106,PIT,E," Harrison (2, throw)"
360412106,PIT,DP, 1 (Harrison-Mercer-Morse)
360412106,DET,E," Castellanos (1, line drive)"
360412106,DET,DP, 2 (Iglesias-Kinsler-Cabrera 2)
360412119,ARI,DP, 1 (Goldschmidt-Ahmed-Segura)
360412119,LAD,E," Kendrick (1, ground ball)"
360412119,LAD,Assists, Puig (Castillo at Home)
360412120,ATL,DP, 1 (Markakis-Freeman)
360412120,ATL,Assists, Markakis (Murphy at 1st base); Smith (Taylor at 2nd base)
360412120,WSH,E," Espinosa (1, ground ball)"
360412120,WSH,DP, 1 (Drew-Murphy-Zimmerman)
360412122,SD,E," Spangenberg 2 (4, pop up, throw)"
360412122,SD,DP," 2 (Spangenberg-Wallace-Ramírez, Ramírez-Spangenberg-Wallace)"
360412122,PHI,E," Howard (2, catch)"
360412114,NYY,E," Castro (1, throw)"
360412114,NYY,DP, 1 (Gregorius-Castro-Teixeira)
360412114,TOR,E," Sanchez (1, throw)"
360412102,BAL,DP, 2 (Hardy-Davis 2)
360412102,BOS,Assists, Bradley Jr. (Flaherty at 2nd base)
360412102,BOS,PB, Swihart
360412121,MIA,DP, 1 (Gordon-Hechavarría-Bour)
360412121,MIA,Assists, Ozuna (Duda at 2nd base)
360412130,CLE,DP, 1 (Napoli-Uribe-Kluber)
360412130,TB,DP, 1 (Jennings-Forsythe)
360412130,TB,Assists, Jennings (Napoli at 2nd base)
360412118,KC,DP," 2 (Moustakas-Infante-Hosmer, Infante-Hosmer-Escobar-Hosmer-Moustakas)"
360412118,HOU,DP, 1 (White-Correa-White)
360412127,SF,E," Belt (1, ground ball)"
360412127,SF,DP, 1 (Crawford-Panik-Belt)
360412127,SF,Assists, Pagán (González at Home)
360412127,COL,DP, 1 (LeMahieu-Story-Reynolds)
360412127,COL,Assists, Parra (Pence at Home)
360412111,LAA,E," Pujols (1, ground ball)"
360412111,LAA,DP, 1 (Escobar-Giavotella-Pujols)
360412111,OAK,DP," 2 (Valencia-Lowrie-Canha, Reddick-Canha)"
360412111,OAK,Assists, Reddick (Simmons at 1st base)
360412112,TEX,E," Odor (1, ground ball)"
360412112,SEA,DP," 2 (Sardiñas-Seager-Lee, Martín-Canó)"
360412112,SEA,Assists, Martín (Andrus at 2nd base)
360413121,MIA,DP, 1 (Gordon-Hechavarría)
360413121,MIA,Assists, Yelich (Plawecki at 2nd base)
360413121,NYM,DP, 1 (Flores-Cabrera-Flores)
360413111,LAA,E," Cron (1, ground ball)"
360413112,TEX,E," Desmond (2, fly ball); DeShields (1, bobble); Odor (2, catch)"
360413112,TEX,DP," 2 (Alberto-Moreland, Odor-Alberto-Moreland)"
360413112,TEX,PB, Nicholas
360413112,SEA,E," Lind (1, ground ball)"
360413112,SEA,DP," 2 (Cruz-Lind, Canó-Lind-Marte)"
360413112,SEA,Assists, Cruz (Alberto at 1st base)
360413102,BAL,DP," 2 (Machado-Schoop-Hardy, Hardy-Schoop)"
360413102,BOS,Assists, Betts (Hardy at 3rd base)
360413120,WSH,DP," 2 (Roark-Espinosa-Robinson, Espinosa-Murphy-Robinson)"
360413122,SD,E," Spangenberg (5, throw); Rosales (1, pop up); Amarista (1, ground ball)"
360413122,SD,DP," 3 (Amarista-Myers, Amarista-Spangenberg-Myers, Kemp-Myers)"
360413122,SD,Assists, Kemp (Franco at 1st base)
360413122,PHI,E," Howard (3, throw)"
360413123,DET,DP," 2 (Kinsler-Iglesias-Cabrera, Kinsler-Cabrera)"
360413123,PIT,Assists, McCutchen (Gose at 2nd base); Marte (Collins at 2nd base)
360413114,NYY,E," Torreyes (1, throw)"
360413114,NYY,DP," 2 (Romine-Castro, Torreyes-Castro-Teixeira)"
360413114,TOR,DP," 2 (Tulowitzki-Goins-Smoak, Smoak)"
360413130,CLE,Assists, Davis (Casali at Home)
360413130,TB,E," Forsythe (1, throw); Longoria (1, throw)"
360413116,CHC,DP," 3 (Zobrist-Rizzo, Zobrist-Russell-Rizzo, Russell-Zobrist-Rizzo)"
360413109,MIN,DP, 1 (Escobar-Dozier-Mauer)
360413118,KC,E," Escobar (1, ground ball)"
360413118,KC,DP, 1 (Infante-Escobar-Hosmer)
360413118,HOU,E," Feldman (1, throw)"
360413118,HOU,PB, Castro
360413124,MIL,E," Walsh (1, throw)"
360413124,MIL,Assists, Braun (Molina at 2nd base)
360413124,STL,E," Díaz (3, throw); Carpenter (2, throw)"
360413124,STL,DP, 1 (Díaz-Gyorko-Holliday)
360413124,STL,PB, Molina
360413127,SF,E," Panik (1, ground ball)"
