last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Guerra, Deolis,500610,2021,269,183,.218,.202,0.016,.358,.342,0.016,.283,.273,0.010,4.11,3.15,0.96
García, Jarlín,606424,2021,269,181,.196,.214,-0.018,.380,.346,0.034,.269,.272,-0.003,2.62,3.12,-0.50
Urías, Julio,628711,2021,745,505,.219,.219,0.000,.349,.356,-0.007,.266,.272,-0.006,2.96,3.12,-0.16
Gallegos, Giovanny,606149,2021,310,189,.183,.206,-0.023,.302,.342,-0.040,.240,.272,-0.032,3.02,3.12,-0.10
Hembree, Heath,592390,2021,243,134,.207,.184,0.023,.419,.338,0.081,.306,.272,0.034,5.59,3.12,2.47
Buehler, Walker,621111,2021,815,545,.199,.215,-0.016,.329,.338,-0.009,.255,.270,-0.015,2.47,3.08,-0.61
Matzek, Tyler,554431,2021,264,148,.182,.188,-0.006,.277,.277,0.000,.261,.267,-0.006,2.57,3.01,-0.44
Bender, Anthony,669622,2021,247,150,.207,.205,0.002,.350,.303,0.047,.275,.266,0.009,2.79,2.98,-0.19
Chafin, Andrew,605177,2021,266,181,.186,.202,-0.016,.273,.324,-0.051,.231,.265,-0.034,1.83,2.96,-1.13
Whitlock, Garrett,676477,2021,298,197,.233,.227,0.006,.349,.328,0.021,.272,.265,0.007,1.96,2.96,-1.00
Kittredge, Andrew,552640,2021,282,187,.210,.216,-0.006,.332,.341,-0.009,.251,.263,-0.012,1.88,2.92,-1.04
Scherzer, Max,453286,2021,693,411,.185,.194,-0.009,.331,.348,-0.017,.248,.262,-0.014,2.46,2.89,-0.43
May, Trevor,543507,2021,266,159,.227,.190,0.037,.401,.341,0.060,.297,.262,0.035,3.59,2.89,0.70
Sewald, Paul,623149,2021,264,135,.176,.181,-0.005,.339,.356,-0.017,.249,.261,-0.012,3.06,2.87,0.19
Neris, Héctor,593576,2021,310,176,.202,.180,0.022,.382,.300,0.082,.292,.261,0.031,3.63,2.87,0.76
Holmes, Clay,605280,2021,292,181,.206,.191,0.015,.284,.281,0.003,.262,.260,0.002,3.60,2.85,0.75
Jansen, Kenley,445276,2021,278,153,.153,.178,-0.025,.233,.267,-0.034,.228,.259,-0.031,2.22,2.83,-0.61
Rogers, Tyler,643511,2021,326,253,.243,.231,0.012,.328,.296,0.032,.269,.258,0.011,2.22,2.80,-0.58
Wheeler, Zack,554430,2021,849,548,.215,.213,0.002,.321,.313,0.008,.257,.257,-0.000,2.78,2.78,-0.00
Peralta, Freddy,642547,2021,580,318,.165,.174,-0.009,.300,.285,0.015,.252,.254,-0.002,2.81,2.72,0.09
Kopech, Michael,656629,2021,285,157,.210,.179,0.031,.374,.320,0.054,.280,.254,0.026,3.50,2.72,0.78
Glasnow, Tyler,607192,2021,340,190,.176,.185,-0.009,.319,.326,-0.007,.246,.253,-0.007,2.66,2.70,-0.04
Suárez, Ranger,624133,2021,418,273,.194,.203,-0.009,.255,.276,-0.021,.235,.250,-0.015,1.36,2.63,-1.27
Rodón, Carlos,607074,2021,534,304,.189,.186,0.003,.306,.309,-0.003,.247,.250,-0.003,2.37,2.63,-0.26
Díaz, Edwin,621242,2021,257,136,.195,.173,0.022,.285,.263,0.022,.264,.250,0.014,3.45,2.63,0.82
Romano, Jordan,605447,2021,253,142,.181,.170,0.011,.310,.288,0.022,.257,.249,0.008,2.14,2.61,-0.47
Lynn, Lance,458681,2021,641,417,.209,.191,0.018,.338,.307,0.031,.263,.248,0.015,2.69,2.59,0.10
Pressly, Ryan,519151,2021,250,156,.208,.200,0.008,.297,.323,-0.026,.238,.247,-0.009,2.25,2.57,-0.32
Iglesias, Raisel,628452,2021,273,157,.207,.189,0.018,.367,.328,0.039,.261,.243,0.018,2.57,2.49,0.08
Treinen, Blake,595014,2021,286,173,.179,.187,-0.008,.253,.254,-0.001,.233,.241,-0.008,1.99,2.45,-0.46
McHugh, Collin,543521,2021,247,159,.207,.202,0.005,.289,.284,0.005,.236,.234,0.002,1.55,2.31,-0.76
Clase, Emmanuel,661403,2021,279,189,.195,.200,-0.005,.240,.263,-0.023,.212,.226,-0.014,1.29,2.16,-0.87
Loáisiga, Jonathan,642528,2021,283,195,.215,.184,0.031,.281,.249,0.032,.245,.226,0.019,2.17,2.16,0.01
Burnes, Corbin,669203,2021,657,383,.201,.179,0.022,.273,.254,0.019,.232,.218,0.014,2.43,2.01,0.42
Hendriks, Liam,521230,2021,267,145,.174,.165,0.009,.318,.309,0.009,.219,.212,0.007,2.54,1.91,0.63
deGrom, Jacob,594798,2021,324,166,.129,.144,-0.015,.242,.246,-0.004,.174,.190,-0.016,1.08,1.55,-0.47
